Author,Book,Category,Reading Year,ISBN,Metadata Title,Metadata Author,Metadata Publisher,Metadata Year,Metadata Language,Metadata Cover URL Thumbnail,Metadata Cover URL Small Thumbnail,Number Of Copies
Rachel Bright,The Stompysaurus,Reading Challenge,EYFS,9781408356166,The Stompysaurus Rachel Bright Untitled 1,Rachel Bright,Orchard Books,2022,en,http://books.google.com/books/content?id=plO-zQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=plO-zQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Alice Courtley,Lost in the city,Reading Challenge,EYFS,9781408364192,Lost In The City,Alice Courtley,Orchard Books,2022,en,http://books.google.com/books/content?id=6kSKzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=6kSKzgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Yessica Baeten,The zoo inside me,Reading Challenge,EYFS,9781839131455,The Zoo Inside Me,Ruth DOYLE,Unknown,2023,en,Unknown,Unknown,1
Carrie Finison,Don't hug Dough,Reading Challenge,EYFS,9780241527573,Don't Hug Doug (He Doesn't Like It) - A Picture Book About Consent,Carrie Finison,Ladybird,2021,en,http://books.google.com/books/content?id=U2odzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=U2odzgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Polly Dunbar,Can bears ski,Reading Challenge,EYFS,9781406382624,Can Bears Ski?,Raymond Antrobus,Unknown,2021,en,http://books.google.com/books/content?id=3LrZzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=3LrZzQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Fiona Lumbers,The hairdo that got away,Reading Challenge,EYFS,9781783447824,The Hairdo That Got Away,Joseph Coelho,Unknown,2019,en,http://books.google.com/books/content?id=UWzrwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=UWzrwAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Dapo Adeola,We're going to find the monster,Reading Challenge,EYFS,9780241401309,We're Going To Find The Monster,Malorie Blackman,Puffin Books,2021,en,http://books.google.com/books/content?id=trcczgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=trcczgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Chante Timothy,Daddy do my hair,Reading Challenge,EYFS,9781398511460,Daddy Do My Hair: Beth's Twists,Tolá Okogwu,Simon and Schuster,2022,en,http://books.google.com/books/content?id=7t9FEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=7t9FEAAAQBAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Matthew A Cherry,Hair Love,Reading Challenge,EYFS,9780525553366,Hair Love,Matthew A. Cherry,Penguin,2019,en,http://books.google.com/books/content?id=jjGgDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=jjGgDwAAQBAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Kate Hindley,The same but different too,Reading Challenge,EYFS,9781788004008,The Same But Different Too,Karl Newson,Unknown,2019,en,http://books.google.com/books/content?id=STsJvAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=STsJvAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Rachael Davis,I am not a prince,Reading Challenge,EYFS,9781408362259,I Am NOT A Prince,Rachael Davis,Orchard Books,2022,en,http://books.google.com/books/content?id=NsMszgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=NsMszgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Corrina Campbell,The boy who rescued a rainbow,Reading Challenge,EYFS,9781916205468,The Boy Who Rescued A Rainbow,Corrina Campbell,Unknown,2022,en,http://books.google.com/books/content?id=6Bv5zgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=6Bv5zgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Lily murray,A dress with pockets,Reading Challenge,EYFS,9781529047868,A Dress With Pockets,Lily Murray,Macmillan Children's Books,2022,en,http://books.google.com/books/content?id=k2qdzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=k2qdzgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Adam and Charlotte Guillian,My big fantastic family,Reading Challenge,EYFS,9781839943478,My Big Fantastic Family,Adam Guillain & Charlotte Guillain,Unknown,2021,en,http://books.google.com/books/content?id=xQJzzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=xQJzzgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Samuel Boughton,The Extraordinary Gardener,Reading Challenge,EYFS,9781849765664,The Extraordinary Gardener,Sam Boughton,Unknown,2018,en,http://books.google.com/books/content?id=SWjdtAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=SWjdtAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
AKALA,Hip and HOP,Reading Challenge,EYFS,9780192747808,You Can Do Anything (Hip And Hop),Akala,Unknown,2017,en,http://books.google.com/books/content?id=r2YFMQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=r2YFMQAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Julia Donaldson,Freddie and the Fairy,Reading Challenge,EYFS,9780330511186,Freddie And The Fairy,Julia Donaldson,Pan Macmillan,2012,en,http://books.google.com/books/content?id=-iHOSAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=-iHOSAAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Jion Sheibani,The Worries,Reading Challenge,1,9780241438619,The Worries,Jion Sheibani,Puffin,2021,en,http://books.google.com/books/content?id=n76EzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=n76EzQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Zadie Smith,Weirdo,Reading Challenge,1,9780241449608,Weirdo,Zadie Smith & Nick Laird,Puffin,2021,en,http://books.google.com/books/content?id=v-WfzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=v-WfzQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Georgina Stevens,Stella and the Seagull,Reading Challenge,1,9780192774682,Stella And The Seagull,Georgina Stevens,Unknown,2020,en,http://books.google.com/books/content?id=TmC3zAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=TmC3zAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Saadia Faruqi,Yasmin The Scientist,Reading Challenge,1,9781515883739,Yasmin The Scientist,Saadia Faruqi,Picture Window Books,2021,en,http://books.google.com/books/content?id=-2AFEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books/content?id=-2AFEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,1
