Author,Book,Category,Year
Helaine Becker,Counting on Katherine,Reading Challenge,2
Roald Dahl,Georges Marvellous Medicine,Reading Challenge,2
Karen Owen,Major and Mynah,Reading Challenge,3
A.M Dassu,The new kid,Reading Challenge,3
Maz Evans,The exploding life of Scarlett Fife,Reading Challenge,3
M.Chan,Tiger Warrior,Reading Challenge,3
Nicola Davies,Ariki and the giant shark,Reading Challenge,3
Jenny Mclachlan,Stink worst.fairy.ever,Reading Challenge,3
Dan Abo and Jason Patterson,Barb the brave,Reading Challenge,3
Malorie Blackman,Grandpa Bert and the ghost snatchers,Reading Challenge,3
Chrissie Sains,The treasure under the jam factory,Reading Challenge,3
Candy Gourlay,Mike falls up,Reading Challenge,3
Serena Patel,Anisha accidental detective school's cancelled,Reading Challenge,3
Vashti Hardy,Harley hitch and the Iron Forest,Reading Challenge,3
Joyce Dunbar,The boy in the jam jar,Reading Challenge,3
Lee Newbery,The last firefox,Reading Challenge,3
Konnie Huq,Cookie the most annoying boy in the world,Reading Challenge,3
Lucy Brandt,Leonora bolt secret inventor,Reading Challenge,3
Venessa Taylor,Baller boys,Reading Challenge,3
Alex Falase-Koya,Marcus Rashford THE BREAKFAST CLUB ADVENTURES,Reading Challenge,3
Atinuke,Too small Tolo gets tough,Reading Challenge,3
Simon Philip,Fred wizard in training,Reading Challenge,3
Katie  and Kevin Tsang,Sam Wu is not afraid of ghosts,Reading Challenge,3
Mark Powers,Space detective,Reading Challenge,3
Serena Holly,The marvellous granny Jinks and me,Reading Challenge,3
Joseph Coelhe,Our tower,Reading Challenge,3
Zana Fraillon,Wisp,Reading Challenge,3
Ian Eagleton,Nen and the lonely fisherman,Reading Challenge,3
Ayisha Malik,Seven sisters,Reading Challenge,3
Benjamin Zephaniah,We sang across the sea the empire windrush and me,Reading Challenge,3
Patrice Lawrence,Granny Ting Ting,Reading Challenge,3
Samantha Baines,Harriet Versus the Galaxy,Reading Challenge,3
Andy Shepherd,The boy who grew dragons,Reading Challenge,3
Robin Boyden,Georgia and the edge of the world,Reading Challenge,4
Annabelle Sami,Llama on a mission,Reading Challenge,4
Ellie Clements,The wondrous prune,Reading Challenge,4
Sibeal Pounder,Bad mermaids,Reading Challenge,4
Kate Foster,Paws,Reading Challenge,4
Lucy Noguera,Swop The Satsuma -sized secret,Reading Challenge,4
Priscilla Mante,Jaz Santos vs the world,Reading Challenge,4
Gabrielle kent,Knights and bikes,Reading Challenge,4
Jason Reynolds,Stuntboy in the meantime,Reading Challenge,4
Nizrana Farook,The girl who stole an Elephant,Reading Challenge,4
Jasbinder Bilan,Asha and the spirit bird,Reading Challenge,4
Alesha Dixon,Lighting girl,Reading Challenge,4
Sue Cheung,Maddy yips guide to life,Reading Challenge,4
G.R . Gemin,Sweet pizza,Reading Challenge,4
Ashley Banjo,Fly high crew,Reading Challenge,4
Richard O'neill,A Different Kind of Freedom: A Romani Story,Reading Challenge,4
Jenny Mclachlan,Dead good detectives,Reading Challenge,4
Rob Biddulph,Peanut Jones,Reading Challenge,4
Kereen Getten,Ada rue and the banished,Reading Challenge,4
Maisie Chan,Keep dancing Lizzie Chu,Reading Challenge,4
Radiya Hafiza,Rumaysa ever after,Reading Challenge,4
Cece Bell Bell,El Deafo,Reading Challenge,4
Ross Montgomery,Max and the million,Reading Challenge,4
Lenny Henry,The boy with wings,Reading Challenge,4
Onjali Q. Rauf,The food great bank heist,Reading Challenge,4
Sufiya Ahmed,Ruby Ali's Mission break up,Reading Challenge,4
Joseph Coelho,Zombierella,Reading Challenge,4
Camilla Chester,Call me lion,Reading Challenge,4
JK Rowling,Harry Potter and the Philosophers stone,Reading Challenge,4
Kelly Yang,Front Desk,Reading Challenge,5
Stewart Foster,Can you Feel the Noise,Reading Challenge,5
Sharna Jackson,The Good Turn,Reading Challenge,5
Aoife Dooley,Frankie's World,Reading Challenge,5
Kwame Mbalia,Last Gate of the Emperor,Reading Challenge,5
Patrice Lawrence,Diver's Daughter,Reading Challenge,5
Nizrana Farook,The Boy who met a whale,Reading Challenge,5
Jen Carney,The accidental Diary of BUG,Reading Challenge,5
Em Norry,Amber undercover,Reading Challenge,5
M.T.Khan,Nura and the Immortal Palace,Reading Challenge,5
Marie Basting,Princess BMX,Reading Challenge,5
Rebecca King,Ember Shadows and the Fates of Mount Never,Reading Challenge,5
Annabelle Sam,Agent Zaiba Investigates The missing diamonds,Reading Challenge,5
Sangu Mandanna,Kiki Kallira breaks a kingdom,Reading Challenge,5
Sufiya Ahmed,Noor Un Nissa Inayat Khan,Reading Challenge,5
Helen Rutter,The boy who made everyone laugh,Reading Challenge,5
L.D.Lapinski,Jamie,Reading Challenge,5
Benjamin Dean,Me my Dad and the end of the rainbow,Reading Challenge,5
Susan Brownrigg,Gracie Fairhsaw and the mysterious guest,Reading Challenge,5
Polly Hoyen,The day no one woke up,Reading Challenge,5
Paola Peretti,The distance between me and the cherry tree,Reading Challenge,5
Emily Kenny,The Extraordinary adventures of Alice Tonks,Reading Challenge,5
Humza Arshad,Little Badman and the time travelling teacher of doom,Reading Challenge,5
Burhana Islam,Mayhem Mission,Reading Challenge,5
Lynne Kelly,Song for a whale,Reading Challenge,5
Jamar J Perry,Cameron Battle and the hidden Kingdoms,Reading Challenge,5
Maisie Chan,Danny Chung does not do maths,Reading Challenge,5
Onjali Q Rauf,The lion above the door,Reading Challenge,5
Elle McNicoll,A kind of Spark,Reading Challenge,5
Angela Mcallister,Leon and the place between,Reading Challenge,5
Tola Okoggwu,Onyeka and the academy of the sun,Reading Challenge,6
Isabel Roxas,The adventures of team pom squid happens,Reading Challenge,6
B.B.Alston,Amari and the night brothers,Reading Challenge,6
